PROGRAM_NAME,PROGRAM_URL,CATALOG_NAME,LAST_UPDATED,ID,TITLE,DESCRIPTION,LINK,IMPRESSION_URL,IMAGE_LINK,MOBILE_LINK,ADDITIONAL_IMAGE_LINK,AVAILABILITY,AVAILABILITY_DATE,EXPIRATION_DATE,PRICE,SALE_PRICE,SALE_PRICE_EFFECTIVE_DATE,UNIT_PRICING_MEASURE,UNIT_PRICING_BASE_MEASURE,INSTALLMENT,LOYALTY_POINTS,GOOGLE_PRODUCT_CATEGORY,GOOGLE_PRODUCT_CATEGORY_NAME,PRODUCT_TYPE,BRAND,GTIN,MPN,IDENTIFIER_EXISTS,CONDITION,ADULT,MULTIPACK,IS_BUNDLE,ENERGY_EFFICIENCY_CLASS,AGE_GROUP,COLOR,GENDER,MATERIAL,PATTERN,SIZE,SIZE_TYPE,SIZE_SYSTEM,ITEM_GROUP_ID,CUSTOM_LABEL_0,CUSTOM_LABEL_1,CUSTOM_LABEL_2,CUSTOM_LABEL_3,CUSTOM_LABEL_4,PROMOTION_ID,SHIPPING_LABEL,SHIPPING_WEIGHT,SHIPPING_LENGTH,SHIPPING_WIDTH,SHIPPING_HEIGHT,MINHANDLINGTIME,MAXHANDLINGTIME,PRODUCT_LENGTH,PRODUCT_WIDTH,PRODUCT_HEIGHT,PRODUCT_WEIGHT,PRODUCT_HIGHLIGHT,ADS_REDIRECT,SHOPPING_ADS_EXCLUDED_COUNTRY,SHIPS_FROM_COUNTRY,TRANSIT_TIME_LABEL,COST_OF_GOODS_SOLD,SHIPPING(COUNTRY:REGION:SERVICE:PRICE),SHIPPING(MIN_HANDLING_TIME),SHIPPING(MAX_HANDLING_TIME),SHIPPING(PRICE),SHIPPING(COUNTRY),SHIPPING(MIN_TRANSIT_TIME),SHIPPING(MAX_TRANSIT_TIME),SHIPPING(COUNTRY:POSTAL_CODE:SERVICE:PRICE),SHIPPING(COUNTRY:LOCATION_ID:SERVICE:PRICE),SHIPPING(COUNTRY:LOCATION_GROUP_NAME:SERVICE:PRICE),TAX(RATE:COUNTRY:TAX_SHIP:REGION),TAX(RATE:COUNTRY:TAX_SHIP:POSTAL_CODE),TAX(RATE:COUNTRY:TAX_SHIP:LOCATION_ID),TAX(RATE:COUNTRY:TAX_SHIP:LOCATION_GROUP_NAME),SUBSCRIPTION_COST(PERIOD),SUBSCRIPTION_COST(PERIOD_LENGTH),SUBSCRIPTION_COST(AMOUNT),PRODUCT_DETAIL(SECTION_NAME),PRODUCT_DETAIL(ATTRIBUTE_NAME),PRODUCT_DETAIL(ATTRIBUTE_VALUE),CERTIFICATION(CERTIFICATION_AUTHORITY:CERTIFICATION_NAME:CERTIFICATION_CODE:CERTIFICATION_VALUE),currency_parse,category_added,price_clean,sale_clean
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:28:13.177-07:00,9040958952,"Womens Studded Metallic Double Banded Open Toe Wedge Sandals, Blue, Size 8.5","Step up your style game with these Studded Metallic Double Banded Open Toe Wedge Sandals. Perfect for adding a touch of edge and shine to any outfit, these wedges combine comfort and flair with their open toe design and eye-catching metallic finish. Whether you're heading out for a casual day or a night on the town, these sandals will keep you looking effortlessly cool and confident. Double banded straps with studded detailing for a bold, trendy look Metallic finish that catches the light and elevates your outfit Open toe design keeps feet cool and stylish Wedge heel offers comfortable height without sacrificing stability Perfect for day-to-night wear, easy to pair with dresses, jeans, or shorts Measurements Heel Height: 2 in Platform Height: 1.2 in Content and Care Material: All Man-Made Material Country Of Origin: China Rainbow Item Number 1117077286125 BLUE DENIM - 1117077286125347",https://www.anrdoezrs.net/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Fblue-denim-studded-metallic-double-banded-open-toe-wedge-sandals-1117077286125,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125347_001.jpg?v=1774525068,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125347_002.jpg?v=1774525068,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125347_003.jpg?v=1774525068",in stock,,,22.99 USD,22.99 USD,,,,,,187,Apparel & Accessories > Shoes,,Rainbow Shops,,,no,new,,,,,adult,blue,female,,,8.5,regular,US,1117077286125,shoes,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Heels,22.99,22.99
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:28:13.184-07:00,9040958960,"Womens Studded Metallic Double Banded Open Toe Wedge Sandals, Blue, Size 9","Step up your style game with these Studded Metallic Double Banded Open Toe Wedge Sandals. Perfect for adding a touch of edge and shine to any outfit, these wedges combine comfort and flair with their open toe design and eye-catching metallic finish. Whether you're heading out for a casual day or a night on the town, these sandals will keep you looking effortlessly cool and confident. Double banded straps with studded detailing for a bold, trendy look Metallic finish that catches the light and elevates your outfit Open toe design keeps feet cool and stylish Wedge heel offers comfortable height without sacrificing stability Perfect for day-to-night wear, easy to pair with dresses, jeans, or shorts Measurements Heel Height: 2 in Platform Height: 1.2 in Content and Care Material: All Man-Made Material Country Of Origin: China Rainbow Item Number 1117077286125 BLUE DENIM - 1117077286125347",https://www.kqzyfj.com/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Fblue-denim-studded-metallic-double-banded-open-toe-wedge-sandals-1117077286125,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125347_001.jpg?v=1774525068,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125347_002.jpg?v=1774525068,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125347_003.jpg?v=1774525068",in stock,,,22.99 USD,22.99 USD,,,,,,187,Apparel & Accessories > Shoes,,Rainbow Shops,,,no,new,,,,,adult,blue,female,,,9,regular,US,1117077286125,shoes,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Heels,22.99,22.99
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:28:13.190-07:00,9040958978,"Womens Studded Metallic Double Banded Open Toe Wedge Sandals, Blue, Size 10","Step up your style game with these Studded Metallic Double Banded Open Toe Wedge Sandals. Perfect for adding a touch of edge and shine to any outfit, these wedges combine comfort and flair with their open toe design and eye-catching metallic finish. Whether you're heading out for a casual day or a night on the town, these sandals will keep you looking effortlessly cool and confident. Double banded straps with studded detailing for a bold, trendy look Metallic finish that catches the light and elevates your outfit Open toe design keeps feet cool and stylish Wedge heel offers comfortable height without sacrificing stability Perfect for day-to-night wear, easy to pair with dresses, jeans, or shorts Measurements Heel Height: 2 in Platform Height: 1.2 in Content and Care Material: All Man-Made Material Country Of Origin: China Rainbow Item Number 1117077286125 BLUE DENIM - 1117077286125347",https://www.kqzyfj.com/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Fblue-denim-studded-metallic-double-banded-open-toe-wedge-sandals-1117077286125,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125347_001.jpg?v=1774525068,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125347_002.jpg?v=1774525068,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125347_003.jpg?v=1774525068",in stock,,,22.99 USD,22.99 USD,,,,,,187,Apparel & Accessories > Shoes,,Rainbow Shops,,,no,new,,,,,adult,blue,female,,,10,regular,US,1117077286125,shoes,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Heels,22.99,22.99
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:28:13.196-07:00,9040958986,"Womens Studded Metallic Double Banded Open Toe Wedge Sandals, Blue, Size 11","Step up your style game with these Studded Metallic Double Banded Open Toe Wedge Sandals. Perfect for adding a touch of edge and shine to any outfit, these wedges combine comfort and flair with their open toe design and eye-catching metallic finish. Whether you're heading out for a casual day or a night on the town, these sandals will keep you looking effortlessly cool and confident. Double banded straps with studded detailing for a bold, trendy look Metallic finish that catches the light and elevates your outfit Open toe design keeps feet cool and stylish Wedge heel offers comfortable height without sacrificing stability Perfect for day-to-night wear, easy to pair with dresses, jeans, or shorts Measurements Heel Height: 2 in Platform Height: 1.2 in Content and Care Material: All Man-Made Material Country Of Origin: China Rainbow Item Number 1117077286125 BLUE DENIM - 1117077286125347",https://www.jdoqocy.com/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Fblue-denim-studded-metallic-double-banded-open-toe-wedge-sandals-1117077286125,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125347_001.jpg?v=1774525068,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125347_002.jpg?v=1774525068,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125347_003.jpg?v=1774525068",in stock,,,22.99 USD,22.99 USD,,,,,,187,Apparel & Accessories > Shoes,,Rainbow Shops,,,no,new,,,,,adult,blue,female,,,11,regular,US,1117077286125,shoes,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Heels,22.99,22.99
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:28:13.203-07:00,9040958994,"Womens Studded Metallic Double Banded Open Toe Wedge Sandals, Blue, Size 12","Step up your style game with these Studded Metallic Double Banded Open Toe Wedge Sandals. Perfect for adding a touch of edge and shine to any outfit, these wedges combine comfort and flair with their open toe design and eye-catching metallic finish. Whether you're heading out for a casual day or a night on the town, these sandals will keep you looking effortlessly cool and confident. Double banded straps with studded detailing for a bold, trendy look Metallic finish that catches the light and elevates your outfit Open toe design keeps feet cool and stylish Wedge heel offers comfortable height without sacrificing stability Perfect for day-to-night wear, easy to pair with dresses, jeans, or shorts Measurements Heel Height: 2 in Platform Height: 1.2 in Content and Care Material: All Man-Made Material Country Of Origin: China Rainbow Item Number 1117077286125 BLUE DENIM - 1117077286125347",https://www.tkqlhce.com/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Fblue-denim-studded-metallic-double-banded-open-toe-wedge-sandals-1117077286125,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125347_001.jpg?v=1774525068,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125347_002.jpg?v=1774525068,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125347_003.jpg?v=1774525068",in stock,,,22.99 USD,22.99 USD,,,,,,187,Apparel & Accessories > Shoes,,Rainbow Shops,,,no,new,,,,,adult,blue,female,,,12,regular,US,1117077286125,shoes,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Heels,22.99,22.99
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:28:13.209-07:00,9041039349,"Womens Studded Metallic Double Banded Open Toe Wedge Sandals, Black, Size 5.5","Step up your style game with these Studded Metallic Double Banded Open Toe Wedge Sandals. Perfect for adding a touch of edge and shine to any outfit, these wedges combine comfort and flair with their open toe design and eye-catching metallic finish. Whether you're heading out for a casual day or a night on the town, these sandals will keep you looking effortlessly cool and confident. Double banded straps with studded detailing for a bold, trendy look Metallic finish that catches the light and elevates your outfit Open toe design keeps feet cool and stylish Wedge heel offers comfortable height without sacrificing stability Perfect for day-to-night wear, easy to pair with dresses, jeans, or shorts Measurements Heel Height: 2 in Platform Height: 1.2 in Content and Care Material: All Man-Made Material Country Of Origin: China Rainbow Item Number 1117077286125 BLACK SUEDE - 1117077286125300",https://www.dpbolvw.net/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Fblack-suede-studded-metallic-double-banded-open-toe-wedge-sandals-1117077286125,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125300_001.jpg?v=1774525068,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125300_002.jpg?v=1774525068,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125300_003.jpg?v=1774525068",in stock,,,22.99 USD,22.99 USD,,,,,,187,Apparel & Accessories > Shoes,,Rainbow Shops,,,no,new,,,,,adult,black,female,,,5.5,regular,US,1117077286125,shoes,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Heels,22.99,22.99
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:28:13.216-07:00,9040958705,"Womens Studded Metallic Double Banded Open Toe Wedge Sandals, Black, Size 6","Step up your style game with these Studded Metallic Double Banded Open Toe Wedge Sandals. Perfect for adding a touch of edge and shine to any outfit, these wedges combine comfort and flair with their open toe design and eye-catching metallic finish. Whether you're heading out for a casual day or a night on the town, these sandals will keep you looking effortlessly cool and confident. Double banded straps with studded detailing for a bold, trendy look Metallic finish that catches the light and elevates your outfit Open toe design keeps feet cool and stylish Wedge heel offers comfortable height without sacrificing stability Perfect for day-to-night wear, easy to pair with dresses, jeans, or shorts Measurements Heel Height: 2 in Platform Height: 1.2 in Content and Care Material: All Man-Made Material Country Of Origin: China Rainbow Item Number 1117077286125 BLACK SUEDE - 1117077286125300",https://www.dpbolvw.net/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Fblack-suede-studded-metallic-double-banded-open-toe-wedge-sandals-1117077286125,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125300_001.jpg?v=1774525068,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125300_002.jpg?v=1774525068,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125300_003.jpg?v=1774525068",in stock,,,22.99 USD,22.99 USD,,,,,,187,Apparel & Accessories > Shoes,,Rainbow Shops,,,no,new,,,,,adult,black,female,,,6,regular,US,1117077286125,shoes,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Heels,22.99,22.99
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:28:13.222-07:00,9040958713,"Womens Studded Metallic Double Banded Open Toe Wedge Sandals, Black, Size 6.5","Step up your style game with these Studded Metallic Double Banded Open Toe Wedge Sandals. Perfect for adding a touch of edge and shine to any outfit, these wedges combine comfort and flair with their open toe design and eye-catching metallic finish. Whether you're heading out for a casual day or a night on the town, these sandals will keep you looking effortlessly cool and confident. Double banded straps with studded detailing for a bold, trendy look Metallic finish that catches the light and elevates your outfit Open toe design keeps feet cool and stylish Wedge heel offers comfortable height without sacrificing stability Perfect for day-to-night wear, easy to pair with dresses, jeans, or shorts Measurements Heel Height: 2 in Platform Height: 1.2 in Content and Care Material: All Man-Made Material Country Of Origin: China Rainbow Item Number 1117077286125 BLACK SUEDE - 1117077286125300",https://www.anrdoezrs.net/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Fblack-suede-studded-metallic-double-banded-open-toe-wedge-sandals-1117077286125,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125300_001.jpg?v=1774525068,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125300_002.jpg?v=1774525068,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125300_003.jpg?v=1774525068",in stock,,,22.99 USD,22.99 USD,,,,,,187,Apparel & Accessories > Shoes,,Rainbow Shops,,,no,new,,,,,adult,black,female,,,6.5,regular,US,1117077286125,shoes,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Heels,22.99,22.99
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:28:13.282-07:00,9041039356,"Womens Studded Metallic Double Banded Open Toe Wedge Sandals, Beige, Size 5.5","Step up your style game with these Studded Metallic Double Banded Open Toe Wedge Sandals. Perfect for adding a touch of edge and shine to any outfit, these wedges combine comfort and flair with their open toe design and eye-catching metallic finish. Whether you're heading out for a casual day or a night on the town, these sandals will keep you looking effortlessly cool and confident. Double banded straps with studded detailing for a bold, trendy look Metallic finish that catches the light and elevates your outfit Open toe design keeps feet cool and stylish Wedge heel offers comfortable height without sacrificing stability Perfect for day-to-night wear, easy to pair with dresses, jeans, or shorts Measurements Heel Height: 2 in Platform Height: 1.2 in Content and Care Material: All Man-Made Material Country Of Origin: China Rainbow Item Number 1117077286125 TAN S - 1117077286125322",https://www.jdoqocy.com/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Ftan-s-studded-metallic-double-banded-open-toe-wedge-sandals-1117077286125,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125322_001.jpg?v=1774525069,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125322_002.jpg?v=1774525069,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125322_003.jpg?v=1774525069",in stock,,,22.99 USD,22.99 USD,,,,,,187,Apparel & Accessories > Shoes,,Rainbow Shops,,,no,new,,,,,adult,beige,female,,,5.5,regular,US,1117077286125,shoes,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Heels,22.99,22.99
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:28:13.324-07:00,9040958846,"Womens Studded Metallic Double Banded Open Toe Wedge Sandals, Beige, Size 8","Step up your style game with these Studded Metallic Double Banded Open Toe Wedge Sandals. Perfect for adding a touch of edge and shine to any outfit, these wedges combine comfort and flair with their open toe design and eye-catching metallic finish. Whether you're heading out for a casual day or a night on the town, these sandals will keep you looking effortlessly cool and confident. Double banded straps with studded detailing for a bold, trendy look Metallic finish that catches the light and elevates your outfit Open toe design keeps feet cool and stylish Wedge heel offers comfortable height without sacrificing stability Perfect for day-to-night wear, easy to pair with dresses, jeans, or shorts Measurements Heel Height: 2 in Platform Height: 1.2 in Content and Care Material: All Man-Made Material Country Of Origin: China Rainbow Item Number 1117077286125 TAN S - 1117077286125322",https://www.jdoqocy.com/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Ftan-s-studded-metallic-double-banded-open-toe-wedge-sandals-1117077286125,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125322_001.jpg?v=1774525069,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125322_002.jpg?v=1774525069,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1117077286125322_003.jpg?v=1774525069",in stock,,,22.99 USD,22.99 USD,,,,,,187,Apparel & Accessories > Shoes,,Rainbow Shops,,,no,new,,,,,adult,beige,female,,,8,regular,US,1117077286125,shoes,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Heels,22.99,22.99
